Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [1/144] DeepSeek-V4-Pro/D1/贺新郎  41.73s 0err 7514tok
  [2/144] DeepSeek-V4-Pro/D1/满江红  18.55s 0err 4775tok
  [3/144] DeepSeek-V4-Pro/D1/水调歌头  7.69s 0err 3470tok
  [4/144] DeepSeek-V4-Pro/D1/沁园春  64.57s 0err 11329tok
  [5/144] DeepSeek-V4-Pro/D1/水龙吟  23.97s 0err 6203tok
  [6/144] DeepSeek-V4-Pro/D1/念奴娇  175.37s 0err 28793tok
  [7/144] DeepSeek-V4-Pro/D1/满庭芳  30.27s 0err 6977tok
  [8/144] DeepSeek-V4-Pro/D1/齐天乐  16.92s 0err 4514tok
  [9/144] DeepSeek-V4-Pro/D1/木兰花慢  24.2s 0err 6336tok
  [10/144] DeepSeek-V4-Pro/D1/摸鱼儿  49.95s 0err 10023tok
  [11/144] DeepSeek-V4-Pro/D1/八声甘州  18.65s 0err 4597tok
  [12/144] DeepSeek-V4-Pro/D1/瑞鹤仙  8.99s 0err 3610tok
  [13/144] DeepSeek-V4-Pro/D1/高阳台  55.04s 0err 9209tok
  [14/144] DeepSeek-V4-Pro/D1/声声慢  31.28s 0err 6125tok
  [15/144] DeepSeek-V4-Pro/D1/疏影  45.12s 0err 7613tok
  [16/144] DeepSeek-V4-Pro/D1/永遇乐  68.42s 0err 10816tok
  [17/144] DeepSeek-V4-Pro/D1/一萼红  13.69s 0err 4250tok
  [18/144] DeepSeek-V4-Pro/D1/忆旧游  26.7s 0err 6610tok
  [19/144] DeepSeek-V4-Pro/D1/汉宫春  15.85s 0err 4311tok
  [20/144] DeepSeek-V4-Pro/D1/琐窗寒  19.86s 0err 5470tok
  [21/144] DeepSeek-V4-Pro/D1/桂枝香  22.4s 0err 6161tok
  [22/144] DeepSeek-V4-Pro/D1/望海潮  36.71s 0err 7320tok
  [23/144] DeepSeek-V4-Pro/D1/长亭怨慢  36.89s 0err 8191tok
  [24/144] DeepSeek-V4-Pro/D1/渡江云  29.63s 0err 6193tok
  [25/144] DeepSeek-V4-Pro/D1/兰陵王  21.59s 0err 5759tok
  [26/144] DeepSeek-V4-Pro/D1/醉蓬莱  22.1s 0err 4946tok
  [27/144] DeepSeek-V4-Pro/D1/解连环  25.42s 0err 6152tok
  [28/144] DeepSeek-V4-Pro/D1/三姝媚  41.07s 0err 8671tok
  [29/144] DeepSeek-V4-Pro/D1/东风第一枝  12.04s 0err 3737tok
  [30/144] DeepSeek-V4-Pro/D1/天香  35.09s 0err 8264tok
  [31/144] DeepSeek-V4-Pro/D1/玉漏迟  42.69s 0err 7773tok
  [32/144] DeepSeek-V4-Pro/D1/南浦  147.51s 14err 27730tok
  [33/144] DeepSeek-V4-Pro/D1/绮罗香  10.94s 0err 3943tok
  [34/144] DeepSeek-V4-Pro/D1/莺啼序  24.97s 0err 6286tok
  [35/144] DeepSeek-V4-Pro/D1/暗香  16.11s 0err 5062tok
  [36/144] DeepSeek-V4-Pro/D1/凤凰台上忆吹箫  60.77s 0err 8810tok
  [37/144] DeepSeek-V4-Pro/D1/扬州慢  144.39s 0err 18987tok
  [38/144] DeepSeek-V4-Pro/D1/霜叶飞  154.18s 0err 25006tok
  [39/144] DeepSeek-V4-Pro/D1/扫地游  26.6s 0err 7158tok
  [40/144] DeepSeek-V4-Pro/D1/多丽  29.58s 0err 7775tok
  [41/144] DeepSeek-V4-Pro/D1/绛都春  26.94s 0err 5648tok
  [42/144] DeepSeek-V4-Pro/D1/玲珑四犯  58.11s 0err 11053tok
  [43/144] DeepSeek-V4-Pro/D1/法曲献仙音  57.97s 0err 9568tok
  [44/144] DeepSeek-V4-Pro/D1/庆春宫  32.46s 0err 7374tok
  [45/144] DeepSeek-V4-Pro/D1/解语花  66.17s 0err 10524tok
  [46/144] DeepSeek-V4-Pro/D1/石州慢  44.45s 0err 7779tok
  [47/144] DeepSeek-V4-Pro/D1/琵琶仙  59.31s 0err 9568tok
  [48/144] DeepSeek-V4-Pro/D1/选冠子  54.41s 0err 9404tok
  [49/144] DeepSeek-V4-Pro/D1/意难忘  14.02s 0err 4287tok
  [50/144] DeepSeek-V4-Pro/D1/倦寻芳  34.91s 0err 6465tok
  [51/144] DeepSeek-V4-Pro/D1/甘露滴乔松  126.3s 0err 20844tok
  [52/144] DeepSeek-V4-Pro/D1/索酒  148.0s 0err 24395tok
  [53/144] DeepSeek-V4-Pro/D1/穆护砂  260.75s 21err 39275tok
  [54/144] DeepSeek-V4-Pro/D1/绕池游慢  60.82s 0err 9001tok
