Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [1/144] DeepSeek-V4-Pro/D2/念奴娇  105.66s 6err 19654tok
  [2/144] DeepSeek-V4-Pro/D2/贺新郎  113.11s 2err 19903tok
  [3/144] DeepSeek-V4-Pro/D2/水调歌头  92.87s 0err 16950tok
  [4/144] DeepSeek-V4-Pro/D2/满江红  102.34s 9err 18561tok
  [5/144] DeepSeek-V4-Pro/D2/水龙吟  108.8s 2err 19213tok
  [6/144] DeepSeek-V4-Pro/D2/沁园春  185.14s 1err 25747tok
  [7/144] DeepSeek-V4-Pro/D2/满庭芳  123.94s 0err 19092tok
  [8/144] DeepSeek-V4-Pro/D2/齐天乐  166.75s 0err 25796tok
  [9/144] DeepSeek-V4-Pro/D2/摸鱼儿  86.45s 0err 16176tok
  [10/144] DeepSeek-V4-Pro/D2/木兰花慢  100.69s 1err 18666tok
  [11/144] DeepSeek-V4-Pro/D2/高阳台  49.23s 1err 9377tok
  [12/144] DeepSeek-V4-Pro/D2/八声甘州  96.04s 4err 17650tok
  [13/144] DeepSeek-V4-Pro/D2/瑞鹤仙  116.01s 7err 21754tok
  [14/144] DeepSeek-V4-Pro/D2/疏影  107.88s 1err 17490tok
  [15/144] DeepSeek-V4-Pro/D2/永遇乐  96.36s 6err 15985tok
  [16/144] DeepSeek-V4-Pro/D2/声声慢  215.7s 2err 30884tok
  [17/144] DeepSeek-V4-Pro/D2/忆旧游  110.68s 1err 17031tok
  [18/144] DeepSeek-V4-Pro/D2/一萼红  134.84s 4err 18676tok
  [19/144] DeepSeek-V4-Pro/D2/汉宫春  79.5s 2err 15109tok
  [20/144] DeepSeek-V4-Pro/D2/琐窗寒  168.05s 1err 23721tok
  [21/144] DeepSeek-V4-Pro/D2/桂枝香  177.18s 2err 27248tok
  [22/144] DeepSeek-V4-Pro/D2/望海潮  124.1s 0err 19889tok
  [23/144] DeepSeek-V4-Pro/D2/渡江云  87.5s 1err 14022tok
  [24/144] DeepSeek-V4-Pro/D2/长亭怨慢  151.04s 1err 23745tok
  [25/144] DeepSeek-V4-Pro/D2/醉蓬莱  113.25s 2err 17340tok
  [26/144] DeepSeek-V4-Pro/D2/兰陵王  138.98s 1err 23009tok
  [27/144] DeepSeek-V4-Pro/D2/解连环  72.34s 1err 11435tok
  [28/144] DeepSeek-V4-Pro/D2/三姝媚  159.78s 2err 23072tok
  [29/144] DeepSeek-V4-Pro/D2/南浦  173.11s 6err 22958tok
  [30/144] DeepSeek-V4-Pro/D2/天香  67.46s 0err 12095tok
  [31/144] DeepSeek-V4-Pro/D2/东风第一枝  146.49s 0err 20551tok
  [32/144] DeepSeek-V4-Pro/D2/玉漏迟  126.59s 2err 16470tok
  [33/144] DeepSeek-V4-Pro/D2/绮罗香  100.27s 0err 16193tok
  [34/144] DeepSeek-V4-Pro/D2/凤凰台上忆吹箫  100.68s 1err 14894tok
  [35/144] DeepSeek-V4-Pro/D2/暗香  40.39s 0err 8419tok
  [36/144] DeepSeek-V4-Pro/D2/莺啼序  190.39s 6err 29356tok
  [37/144] DeepSeek-V4-Pro/D2/霜叶飞  151.83s 7err 22219tok
  [38/144] DeepSeek-V4-Pro/D2/扬州慢  72.2s 1err 12398tok
  [39/144] DeepSeek-V4-Pro/D2/扫地游  79.4s 2err 15041tok
  [40/144] DeepSeek-V4-Pro/D2/多丽  115.53s 1err 17581tok
  [41/144] DeepSeek-V4-Pro/D2/绛都春  81.07s 1err 14759tok
  [42/144] DeepSeek-V4-Pro/D2/玲珑四犯  102.09s 1err 15981tok
  [43/144] DeepSeek-V4-Pro/D2/解语花  138.49s 0err 23138tok
  [44/144] DeepSeek-V4-Pro/D2/法曲献仙音  173.5s 1err 22268tok
  [45/144] DeepSeek-V4-Pro/D2/庆春宫  107.21s 4err 15627tok
  [46/144] DeepSeek-V4-Pro/D2/琵琶仙  204.57s 1err 26307tok
  [47/144] DeepSeek-V4-Pro/D2/石州慢  104.73s 2err 16338tok
  [48/144] DeepSeek-V4-Pro/D2/选冠子  95.95s 3err 16288tok
  [49/144] DeepSeek-V4-Pro/D2/倦寻芳  110.34s 1err 18670tok
  [50/144] DeepSeek-V4-Pro/D2/意难忘  125.7s 2err 18134tok
  [51/144] DeepSeek-V4-Pro/D2/甘露滴乔松  105.2s 1err 15705tok
  [52/144] DeepSeek-V4-Pro/D2/穆护砂  147.4s 1err 19822tok
  [53/144] DeepSeek-V4-Pro/D2/索酒  109.33s 1err 16784tok
  [54/144] DeepSeek-V4-Pro/D2/胜州令  99.85s 1err 15705tok
  [55/144] DeepSeek-V4-Pro/D2/绕池游慢  164.61s 0err 22451tok
  [56/144] DeepSeek-V4-Pro/D2/花发状元红慢  163.21s 0err 24735tok
  [57/144] DeepSeek-V4-Pro/D2/行香子慢  122.82s 0err 18430tok
  [58/144] DeepSeek-V4-Pro/D2/落梅  141.09s 0err 21812tok
  [59/144] DeepSeek-V4-Pro/D2/远朝归  83.96s 1err 14296tok
  [60/144] DeepSeek-V4-Pro/D2/逍遥乐  78.64s 1err 13546tok
  [61/144] DeepSeek-V4-Pro/D2/长寿仙  80.09s 1err 12145tok
  [62/144] DeepSeek-V4-Pro/D2/金浮图  107.65s 3err 16021tok
  [63/144] DeepSeek-V4-Pro/D2/飞龙宴  117.15s 1err 15729tok
  [64/144] DeepSeek-V4-Pro/D2/雪夜渔舟  201.21s 0err 25565tok
  [65/144] DeepSeek-V4-Pro/D2/三台（大曲）  116.12s 1err 16813tok
  [66/144] DeepSeek-V4-Pro/D2/个侬  135.92s 1err 21151tok
  [67/144] DeepSeek-V4-Pro/D2/六花飞  133.06s 5err 22487tok
  [68/144] DeepSeek-V4-Pro/D2/内家娇  120.7s 6err 18914tok
  [69/144] DeepSeek-V4-Pro/D2/四槛花  90.35s 6err 14835tok
  [70/144] DeepSeek-V4-Pro/D2/大椿  122.29s 1err 20318tok
  [71/144] DeepSeek-V4-Pro/D2/如鱼水  68.81s 1err 11126tok
  [72/144] DeepSeek-V4-Pro/D2/小圣乐  189.38s 1err 26305tok
  [73/144] DeepSeek-V4-Pro/D2/征部乐  111.54s 1err 16899tok
  [74/144] DeepSeek-V4-Pro/D2/恋芳春慢  140.11s 1err 20911tok
  [75/144] DeepSeek-V4-Pro/D2/惜寒梅  97.53s 2err 17235tok
  [76/144] DeepSeek-V4-Pro/D2/无闷  105.06s 1err 16313tok
  [77/144] DeepSeek-V4-Pro/D2/早梅芳慢  103.77s 0err 16348tok
  [78/144] DeepSeek-V4-Pro/D2/春雪间早梅  139.5s 2err 18895tok
  [79/144] DeepSeek-V4-Pro/D2/望南云慢  95.36s 2err 16231tok
  [80/144] DeepSeek-V4-Pro/D2/望明河  133.71s 9err 18590tok
  [81/144] DeepSeek-V4-Pro/D2/期夜月  182.95s 1err 25105tok
  [82/144] DeepSeek-V4-Pro/D2/杏花天慢  196.7s 1err 27454tok
  [83/144] DeepSeek-V4-Pro/D2/梦扬州  61.64s 1err 11213tok
  [84/144] DeepSeek-V4-Pro/D2/清风满桂楼  128.94s 1err 19592tok
  [85/144] DeepSeek-V4-Pro/D2/澡兰香  98.65s 1err 14955tok
  [86/144] DeepSeek-V4-Pro/D2/玉抱肚  119.02s 4err 19418tok
  [87/144] DeepSeek-V4-Pro/D2/玉连环  ERROR: Remote end closed connection without response
  [88/144] DeepSeek-V4-Pro/D2/玉梅香慢  172.95s 1err 24925tok
  [89/144] DeepSeek-V4-Pro/D2/瑞云浓慢  110.61s 1err 17620tok
  [90/144] DeepSeek-V4-Pro/D2/真珠髻  161.7s 5err 26878tok
  [91/144] DeepSeek-V4-Pro/D2/红芍药  121.9s 1err 17995tok
  [92/144] DeepSeek-V4-Pro/D2/翠羽吟  114.9s 1err 22524tok
  [93/144] DeepSeek-V4-Pro/D2/舜韶新  119.4s 1err 18607tok
  [94/144] DeepSeek-V4-Pro/D2/菩萨蛮慢  140.1s 5err 21402tok
  [95/144] DeepSeek-V4-Pro/D2/蜀溪春  81.78s 2err 14617tok
  [96/144] DeepSeek-V4-Pro/D2/西吴曲  119.58s 4err 17977tok
  [97/144] DeepSeek-V4-Pro/D2/赏松菊  133.55s 6err 21458tok
