Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [1/144] gpt-5.4/D1/贺新郎  16.07s 0err 3532tok
  [2/144] gpt-5.4/D1/满江红  14.67s 0err 3308tok
  [3/144] gpt-5.4/D1/念奴娇  31.18s 0err 4897tok
  [4/144] gpt-5.4/D1/沁园春  9.57s 0err 2760tok
  [5/144] gpt-5.4/D1/水调歌头  18.55s 0err 3554tok
  [6/144] gpt-5.4/D1/水龙吟  15.63s 0err 3218tok
  [7/144] gpt-5.4/D1/满庭芳  14.96s 0err 3365tok
  [8/144] gpt-5.4/D1/齐天乐  23.15s 41err 7270tok
  [9/144] gpt-5.4/D1/摸鱼儿  17.52s 0err 3368tok
  [10/144] gpt-5.4/D1/木兰花慢  26.29s 0err 5172tok
  [11/144] gpt-5.4/D1/高阳台  24.33s 0err 4106tok
  [12/144] gpt-5.4/D1/八声甘州  23.54s 0err 7583tok
  [13/144] gpt-5.4/D1/疏影  17.71s 0err 3430tok
  [14/144] gpt-5.4/D1/声声慢  20.96s 41err 6611tok
  [15/144] gpt-5.4/D1/瑞鹤仙  81.57s 103err 17550tok
  [16/144] gpt-5.4/D1/永遇乐  38.16s 0err 5788tok
  [17/144] gpt-5.4/D1/一萼红  14.8s 0err 3248tok
  [18/144] gpt-5.4/D1/汉宫春  16.87s 0err 3432tok
  [19/144] gpt-5.4/D1/忆旧游  46.18s 28err 9014tok
  [20/144] gpt-5.4/D1/琐窗寒  45.0s 0err 7531tok
  [21/144] gpt-5.4/D1/桂枝香  59.27s 0err 6914tok
  [22/144] gpt-5.4/D1/望海潮  29.09s 0err 4178tok
  [23/144] gpt-5.4/D1/长亭怨慢  39.55s 1err 6798tok
  [24/144] gpt-5.4/D1/渡江云  63.22s 1err 9873tok
  [25/144] gpt-5.4/D1/兰陵王  20.5s 121err 8477tok
  [26/144] gpt-5.4/D1/解连环  34.78s 0err 5049tok
  [27/144] gpt-5.4/D1/三姝媚  26.79s 0err 4429tok
  [28/144] gpt-5.4/D1/醉蓬莱  82.89s 18err 13224tok
  [29/144] gpt-5.4/D1/东风第一枝  9.0s 0err 2733tok
  [30/144] gpt-5.4/D1/南浦  28.48s 1err 4557tok
  [31/144] gpt-5.4/D1/天香  39.67s 31err 7877tok
