Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [1/144] gpt-5.4/D2/念奴娇  19.94s 12err 6582tok
  [2/144] gpt-5.4/D2/满江红  51.08s 0err 11071tok
  [3/144] gpt-5.4/D2/贺新郎  74.29s 6err 11275tok
  [4/144] gpt-5.4/D2/沁园春  56.41s 1err 8807tok
  [5/144] gpt-5.4/D2/水调歌头  81.27s 2err 12648tok
  [6/144] gpt-5.4/D2/水龙吟  21.06s 7err 7972tok
  [7/144] gpt-5.4/D2/满庭芳  56.57s 3err 8371tok
  [8/144] gpt-5.4/D2/齐天乐  81.48s 5err 11479tok
  [9/144] gpt-5.4/D2/摸鱼儿  46.59s 15err 9430tok
  [10/144] gpt-5.4/D2/木兰花慢  63.68s 1err 10018tok
  [11/144] gpt-5.4/D2/八声甘州  18.02s 1err 4963tok
  [12/144] gpt-5.4/D2/高阳台  65.38s 3err 7781tok
  [13/144] gpt-5.4/D2/瑞鹤仙  79.69s 1err 13001tok
  [14/144] gpt-5.4/D2/疏影  60.16s 2err 10418tok
  [15/144] gpt-5.4/D2/永遇乐  32.81s 1err 6416tok
  [16/144] gpt-5.4/D2/声声慢  125.65s 1err 18188tok
  [17/144] gpt-5.4/D2/一萼红  20.79s 0err 4166tok
  [18/144] gpt-5.4/D2/汉宫春  40.75s 1err 7514tok
  [19/144] gpt-5.4/D2/忆旧游  115.3s 1err 14938tok
  [20/144] gpt-5.4/D2/琐窗寒  82.89s 14err 9808tok
  [21/144] gpt-5.4/D2/桂枝香  45.69s 2err 7039tok
  [22/144] gpt-5.4/D2/长亭怨慢  52.75s 1err 9144tok
  [23/144] gpt-5.4/D2/望海潮  71.09s 2err 9213tok
  [24/144] gpt-5.4/D2/渡江云  40.02s 1err 7077tok
  [25/144] gpt-5.4/D2/兰陵王  32.08s 1err 6787tok
  [26/144] gpt-5.4/D2/醉蓬莱  118.49s 1err 12503tok
  [27/144] gpt-5.4/D2/解连环  105.63s 6err 11324tok
  [28/144] gpt-5.4/D2/三姝媚  65.69s 5err 9868tok
  [29/144] gpt-5.4/D2/南浦  54.64s 5err 8509tok
  [30/144] gpt-5.4/D2/天香  26.79s 1err 6563tok
  [31/144] gpt-5.4/D2/玉漏迟  20.74s 1err 4802tok
  [32/144] gpt-5.4/D2/东风第一枝  68.28s 1err 9403tok
  [33/144] gpt-5.4/D2/凤凰台上忆吹箫  92.67s 1err 12024tok
  [34/144] gpt-5.4/D2/绮罗香  88.0s 5err 10666tok
  [35/144] gpt-5.4/D2/莺啼序  31.76s 1err 6681tok
  [36/144] gpt-5.4/D2/暗香  77.1s 1err 9792tok
