Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  gemini-3.1-pro-preview/C: resume, 113 done, 31 remaining
  [1/31] gemini-3.1-pro-preview/C/齐天乐  67.91s 48err 5164tok
  [2/31] gemini-3.1-pro-preview/C/忆旧游  85.83s 1err 8311tok
  [3/31] gemini-3.1-pro-preview/C/解连环  61.79s 8err 8123tok
  [4/31] gemini-3.1-pro-preview/C/南浦  75.61s Noneerr 8311tok
  [5/31] gemini-3.1-pro-preview/C/玉漏迟  53.2s 13err 5944tok
  [6/31] gemini-3.1-pro-preview/C/绮罗香  87.16s 1err 8305tok
  [7/31] gemini-3.1-pro-preview/C/莺啼序  86.1s 1err 8309tok
  [8/31] gemini-3.1-pro-preview/C/法曲献仙音  82.04s 1err 8316tok
  [9/31] gemini-3.1-pro-preview/C/解语花  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [10/31] gemini-3.1-pro-preview/C/穆护砂  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [11/31] gemini-3.1-pro-preview/C/飞龙宴  39.82s 1err 5073tok
  [12/31] gemini-3.1-pro-preview/C/落梅  83.46s 1err 7988tok
  [13/31] gemini-3.1-pro-preview/C/惜寒梅  92.64s 1err 8312tok
  [14/31] gemini-3.1-pro-preview/C/无闷  89.39s 1err 8312tok
  [15/31] gemini-3.1-pro-preview/C/早梅芳慢  85.9s Noneerr 8312tok
  [16/31] gemini-3.1-pro-preview/C/梦扬州  81.1s 1err 8109tok
  [17/31] gemini-3.1-pro-preview/C/翠羽吟  74.6s 1err 8124tok
  [18/31] gemini-3.1-pro-preview/C/澡兰香  84.87s 1err 8311tok
  [19/31] gemini-3.1-pro-preview/C/西吴曲  63.98s 1err 8047tok
  [20/31] gemini-3.1-pro-preview/C/踏莎行  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [21/31] gemini-3.1-pro-preview/C/采明珠  75.46s Noneerr 8311tok
  [22/31] gemini-3.1-pro-preview/C/韵令  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [23/31] gemini-3.1-pro-preview/C/荔子丹  78.78s Noneerr 8312tok
  [24/31] gemini-3.1-pro-preview/C/七律平起首句入韵  52.09s 0err 6969tok
  [25/31] gemini-3.1-pro-preview/C/七绝平起首句入韵  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [26/31] gemini-3.1-pro-preview/C/戚氏  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [27/31] gemini-3.1-pro-preview/C/六州歌头  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [28/31] gemini-3.1-pro-preview/C/五律平起  55.2s 0err 5103tok
  [29/31] gemini-3.1-pro-preview/C/皂罗特髻  71.97s Noneerr 8312tok
  [30/31] gemini-3.1-pro-preview/C/减字木兰花  85.06s 15err 8042tok
  [31/31] gemini-3.1-pro-preview/C/翠楼吟  80.94s Noneerr 126tok
  gemini-3.1-pro-preview/C: done (31 completed)

All done. Results in results/run_002/
