Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_002

  GLM-5.1/B: resume, 2 done, 142 remaining
  [1/142] GLM-5.1/B/满江红  75.13s 1err 6512tok
  [2/142] GLM-5.1/B/贺新郎  89.78s 1err 6509tok
  [3/142] GLM-5.1/B/满庭芳  139.97s 1err 9738tok
  [4/142] GLM-5.1/B/水龙吟  260.39s 1err 17237tok
  [5/142] GLM-5.1/B/念奴娇  334.78s 52err 23677tok
  [6/142] GLM-5.1/B/八声甘州  288.98s 0err 20580tok
  [7/142] GLM-5.1/B/摸鱼儿  365.98s 1err 26096tok
  [8/142] GLM-5.1/B/齐天乐  459.95s 1err 39972tok
  [9/142] GLM-5.1/B/水调歌头  496.76s 1err 40112tok
  [10/142] GLM-5.1/B/沁园春  506.23s 4err 39987tok
  [11/142] GLM-5.1/B/高阳台  478.59s 10err 39977tok
  [12/142] GLM-5.1/B/汉宫春  136.29s 59err 10239tok
  [13/142] GLM-5.1/B/瑞鹤仙  475.75s 1err 40086tok
  [14/142] GLM-5.1/B/永遇乐  358.8s 1err 26513tok
  [15/142] GLM-5.1/B/一萼红  329.73s 70err 22758tok
  [16/142] GLM-5.1/B/声声慢  456.46s 43err 39970tok
  [17/142] GLM-5.1/B/忆旧游  469.93s 1err 40012tok
  [18/142] GLM-5.1/B/琐窗寒  485.38s 1err 39971tok
  [19/142] GLM-5.1/B/长亭怨慢  273.06s 1err 21396tok
  [20/142] GLM-5.1/B/桂枝香  482.85s 7err 34746tok
  [21/142] GLM-5.1/B/望海潮  441.4s 9err 39979tok
  [22/142] GLM-5.1/B/渡江云  343.87s 1err 25398tok
  [23/142] GLM-5.1/B/醉蓬莱  422.8s 1err 39976tok
  [24/142] GLM-5.1/B/兰陵王  449.15s 1err 39997tok
  [25/142] GLM-5.1/B/三姝媚  318.0s 1err 23527tok
  [26/142] GLM-5.1/B/解连环  427.85s 1err 40859tok
  [27/142] GLM-5.1/B/凤凰台上忆吹箫  173.44s 1err 13123tok
  [28/142] GLM-5.1/B/东风第一枝  412.13s 1err 28435tok
  [29/142] GLM-5.1/B/南浦  487.95s 1err 39977tok
  [30/142] GLM-5.1/B/天香  499.63s 1err 39981tok
  [31/142] GLM-5.1/B/玉漏迟  459.84s 1err 39903tok
  [32/142] GLM-5.1/B/绮罗香  456.46s 1err 39916tok
