Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  claude-opus-4-6/B: resume, 65 done, 79 remaining
  [1/79] claude-opus-4-6/B/兰陵王  540.29s 1err 34034tok
  [2/79] claude-opus-4-6/B/解连环  577.17s 1err 34033tok
  [3/79] claude-opus-4-6/B/南浦  525.16s 1err 34034tok
  [4/79] claude-opus-4-6/B/三姝媚  ERROR: OpenAI-compatible request timed out while reading response from https://platform
  [5/79] claude-opus-4-6/B/东风第一枝  233.8s 8err 16340tok
  [6/79] claude-opus-4-6/B/天香  369.22s 9err 25784tok
  [7/79] claude-opus-4-6/B/玉漏迟  507.74s 1err 34037tok
  [8/79] claude-opus-4-6/B/绮罗香  531.56s 1err 34034tok
  [9/79] claude-opus-4-6/B/凤凰台上忆吹箫  264.96s 11err 17342tok
  [10/79] claude-opus-4-6/B/莺啼序  550.65s 1err 34036tok
  [11/79] claude-opus-4-6/B/暗香  531.73s 1err 34033tok
  [12/79] claude-opus-4-6/B/霜叶飞  489.61s 1err 34036tok
  [13/79] claude-opus-4-6/B/扬州慢  354.92s 3err 24518tok
  [14/79] claude-opus-4-6/B/扫地游  553.38s 1err 34036tok
  [15/79] claude-opus-4-6/B/多丽  521.27s 1err 34032tok
  [16/79] claude-opus-4-6/B/玲珑四犯  455.82s 1err 31167tok
  [17/79] claude-opus-4-6/B/法曲献仙音  507.32s 1err 34039tok
  [18/79] claude-opus-4-6/B/绛都春  ERROR: OpenAI-compatible request timed out while reading response from https://platform
  [19/79] claude-opus-4-6/B/庆春宫  319.68s 1err 21985tok
  [20/79] claude-opus-4-6/B/解语花  516.44s 1err 34034tok
  [21/79] claude-opus-4-6/B/琵琶仙  520.98s 1err 34037tok
  [22/79] claude-opus-4-6/B/石州慢  555.92s 1err 34034tok
  [23/79] claude-opus-4-6/B/选冠子  537.06s 1err 34033tok
  [24/79] claude-opus-4-6/B/倦寻芳  517.93s 1err 34036tok
  [25/79] claude-opus-4-6/B/甘露滴乔松  95.21s 1err 8342tok
  [26/79] claude-opus-4-6/B/穆护砂  75.75s 1err 6058tok
  [27/79] claude-opus-4-6/B/意难忘  480.89s 13err 31361tok
  [28/79] claude-opus-4-6/B/绕池游慢  434.34s 1err 27717tok
  [29/79] claude-opus-4-6/B/落梅  146.82s 1err 9267tok
  [30/79] claude-opus-4-6/B/花发状元红慢  526.45s 1err 34039tok
  [31/79] claude-opus-4-6/B/行香子慢  468.56s 1err 34038tok
  [32/79] claude-opus-4-6/B/逍遥乐  449.27s 1err 29991tok
  [33/79] claude-opus-4-6/B/金浮图  214.87s 1err 14316tok
  [34/79] claude-opus-4-6/B/长寿仙  502.85s 1err 34037tok
  [35/79] claude-opus-4-6/B/雪夜渔舟  503.52s 1err 34038tok
  [36/79] claude-opus-4-6/B/飞龙宴  449.94s 1err 34034tok
  [37/79] claude-opus-4-6/B/六花飞  375.45s 1err 24144tok
  [38/79] claude-opus-4-6/B/内家娇  456.83s 1err 34034tok
  [39/79] claude-opus-4-6/B/四槛花  516.58s 1err 34034tok
  [40/79] claude-opus-4-6/B/大椿  435.4s 1err 34033tok
  [41/79] claude-opus-4-6/B/如鱼水  500.65s 1err 34036tok
