Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_002

  GLM-5.1/C: resume, 24 done, 120 remaining
  [1/120] GLM-5.1/C/满江红  93.0s 1err 5772tok
  [2/120] GLM-5.1/C/水调歌头  221.92s 25err 15330tok
  [3/120] GLM-5.1/C/齐天乐  269.41s 50err 18135tok
  [4/120] GLM-5.1/C/贺新郎  333.48s 1err 22295tok
  [5/120] GLM-5.1/C/疏影  353.76s 1err 23531tok
  [6/120] GLM-5.1/C/长亭怨慢  131.23s 5err 9311tok
  [7/120] GLM-5.1/C/高阳台  409.37s 7err 39161tok
  [8/120] GLM-5.1/C/木兰花慢  473.47s 52err 33030tok
  [9/120] GLM-5.1/C/一萼红  494.72s 1err 39173tok
  [10/120] GLM-5.1/C/桂枝香  465.06s 1err 39151tok
  [11/120] GLM-5.1/C/南浦  109.11s 1err 7384tok
  [12/120] GLM-5.1/C/望海潮  387.5s 6err 27512tok
  [13/120] GLM-5.1/C/渡江云  369.11s 1err 26625tok
  [14/120] GLM-5.1/C/凤凰台上忆吹箫  98.16s 1err 6497tok
  [15/120] GLM-5.1/C/玉漏迟  159.85s 57err 11297tok
  [16/120] GLM-5.1/C/醉蓬莱  422.51s 1err 39135tok
  [17/120] GLM-5.1/C/霜叶飞  96.69s 1err 6203tok
  [18/120] GLM-5.1/C/兰陵王  423.17s 13err 30528tok
  [19/120] GLM-5.1/C/解连环  412.31s 10err 39169tok
  [20/120] GLM-5.1/C/三姝媚  437.54s 1err 39165tok
  [21/120] GLM-5.1/C/扫地游  218.85s 1err 13638tok
  [22/120] GLM-5.1/C/天香  489.62s 6err 39155tok
  [23/120] GLM-5.1/C/暗香  411.08s 1err 39158tok
  [24/120] GLM-5.1/C/多丽  426.37s 1err 31162tok
  [25/120] GLM-5.1/C/解语花  387.56s 1err 25156tok
  [26/120] GLM-5.1/C/玲珑四犯  431.24s 1err 30657tok
  [27/120] GLM-5.1/C/绛都春  449.58s 1err 39158tok
  [28/120] GLM-5.1/C/石州慢  243.47s 1err 16177tok
  [29/120] GLM-5.1/C/庆春宫  449.59s 1err 39133tok
  [30/120] GLM-5.1/C/琵琶仙  426.91s 1err 39146tok
  [31/120] GLM-5.1/C/意难忘  300.59s 1err 21072tok
  [32/120] GLM-5.1/C/选冠子  437.51s 1err 39170tok
  [33/120] GLM-5.1/C/索酒  165.28s 1err 11354tok
  [34/120] GLM-5.1/C/胜州令  335.22s 1err 21411tok
  [35/120] GLM-5.1/C/三台（大曲）  226.92s 1err 15362tok
  [36/120] GLM-5.1/C/远朝归  404.0s 1err 39162tok
  [37/120] GLM-5.1/C/花发状元红慢  405.86s 1err 39155tok
  [38/120] GLM-5.1/C/逍遥乐  438.36s 1err 39164tok
  [39/120] GLM-5.1/C/长寿仙  454.76s 1err 39211tok
  [40/120] GLM-5.1/C/绕池游慢  457.55s 1err 39116tok
  [41/120] GLM-5.1/C/个侬  126.7s 1err 8987tok
  [42/120] GLM-5.1/C/甘露滴乔松  469.69s 1err 39143tok
  [43/120] GLM-5.1/C/四槛花  134.67s 1err 8987tok
  [44/120] GLM-5.1/C/六花飞  242.9s 1err 17777tok
  [45/120] GLM-5.1/C/恋芳春慢  239.72s 97err 15371tok
  [46/120] GLM-5.1/C/内家娇  311.65s 66err 23865tok
  [47/120] GLM-5.1/C/小圣乐  301.29s 80err 23000tok
