Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  DeepSeek-V3.2-reasoner/B: resume, 72 done, 72 remaining
  [1/72] DeepSeek-V3.2-reasoner/B/念奴娇  107.5s 1err 6740tok
  [2/72] DeepSeek-V3.2-reasoner/B/贺新郎  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [3/72] DeepSeek-V3.2-reasoner/B/沁园春  11.74s 1err 1524tok
  [4/72] DeepSeek-V3.2-reasoner/B/水调歌头  98.03s 2err 7424tok
  [5/72] DeepSeek-V3.2-reasoner/B/水龙吟  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [6/72] DeepSeek-V3.2-reasoner/B/齐天乐  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [7/72] DeepSeek-V3.2-reasoner/B/摸鱼儿  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [8/72] DeepSeek-V3.2-reasoner/B/木兰花慢  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [9/72] DeepSeek-V3.2-reasoner/B/八声甘州  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [10/72] DeepSeek-V3.2-reasoner/B/高阳台  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [11/72] DeepSeek-V3.2-reasoner/B/疏影  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [12/72] DeepSeek-V3.2-reasoner/B/瑞鹤仙  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [14/72] DeepSeek-V3.2-reasoner/B/永遇乐  161.12s 0err 7103tok
  [15/72] DeepSeek-V3.2-reasoner/B/一萼红  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [16/72] DeepSeek-V3.2-reasoner/B/汉宫春  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [17/72] DeepSeek-V3.2-reasoner/B/桂枝香  33.91s 2err 6257tok
  [18/72] DeepSeek-V3.2-reasoner/B/琐窗寒  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [19/72] DeepSeek-V3.2-reasoner/B/渡江云  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [20/72] DeepSeek-V3.2-reasoner/B/醉蓬莱  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [21/72] DeepSeek-V3.2-reasoner/B/兰陵王  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [22/72] DeepSeek-V3.2-reasoner/B/解连环  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [23/72] DeepSeek-V3.2-reasoner/B/三姝媚  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [24/72] DeepSeek-V3.2-reasoner/B/南浦  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [25/72] DeepSeek-V3.2-reasoner/B/东风第一枝  126.59s 0err 1489tok
  [26/72] DeepSeek-V3.2-reasoner/B/天香  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [27/72] DeepSeek-V3.2-reasoner/B/绮罗香  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [28/72] DeepSeek-V3.2-reasoner/B/凤凰台上忆吹箫  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [29/72] DeepSeek-V3.2-reasoner/B/莺啼序  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [30/72] DeepSeek-V3.2-reasoner/B/霜叶飞  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
