Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  MiniMax-M2.5/B: resume, 96 done, 48 remaining
  [1/48] MiniMax-M2.5/B/水龙吟  18.6s 1err 899tok
  [2/48] MiniMax-M2.5/B/贺新郎  83.84s 1err 7129tok
  [3/48] MiniMax-M2.5/B/一萼红  67.26s 1err 3943tok
  [4/48] MiniMax-M2.5/B/玉漏迟  16.6s 1err 780tok
  [5/48] MiniMax-M2.5/B/渡江云  30.92s 1err 1586tok
  [6/48] MiniMax-M2.5/B/暗香  19.0s 1err 1618tok
  [7/48] MiniMax-M2.5/B/琵琶仙  18.26s 1err 2279tok
  [8/48] MiniMax-M2.5/B/绛都春  59.53s 1err 4226tok
  [9/48] MiniMax-M2.5/B/远朝归  7.16s 1err 215tok
  [10/48] MiniMax-M2.5/B/意难忘  16.06s 1err 1284tok
  [11/48] MiniMax-M2.5/B/小圣乐  12.64s 1err 1261tok
  [12/48] MiniMax-M2.5/B/望南云慢  11.28s 1err 588tok
  [13/48] MiniMax-M2.5/B/杏花天慢  26.08s 1err 890tok
  [14/48] MiniMax-M2.5/B/玉连环  28.81s 1err 944tok
  [15/48] MiniMax-M2.5/B/阳台路  13.43s 1err 783tok
  [16/48] MiniMax-M2.5/B/踏莎行  7.93s 1err 691tok
  [17/48] MiniMax-M2.5/B/生查子  9.27s 1err 881tok
  [18/48] MiniMax-M2.5/B/鹧鸪天  12.96s 1err 1185tok
  [19/48] MiniMax-M2.5/B/破字令  5.07s 1err 378tok
  [20/48] MiniMax-M2.5/B/菩萨蛮  17.25s 19err 1894tok
  [21/48] MiniMax-M2.5/B/竹香子  13.38s 1err 1357tok
  [22/48] MiniMax-M2.5/B/荷叶铺水面  6.2s 1err 396tok
  [23/48] MiniMax-M2.5/B/醉高歌  9.48s 1err 873tok
  [24/48] MiniMax-M2.5/B/荔子丹  ERROR: OpenAI-compatible request timed out while reading response from https://platform
  [25/48] MiniMax-M2.5/B/七律平起首句入韵  25.17s 1err 1650tok
  [26/48] MiniMax-M2.5/B/五律仄起  22.63s 1err 1524tok
  [27/48] MiniMax-M2.5/B/七绝仄起首句入韵  33.91s 1err 3079tok
  [28/48] MiniMax-M2.5/B/七绝平起首句入韵  12.11s 3err 762tok
  [29/48] MiniMax-M2.5/B/五律平起  12.9s 0err 1023tok
  [30/48] MiniMax-M2.5/B/七律仄起首句入韵  ERROR: OpenAI-compatible request timed out while reading response from https://platform
  [31/48] MiniMax-M2.5/B/七绝平起  6.29s 1err 501tok
  [32/48] MiniMax-M2.5/B/五绝仄起  7.45s 1err 615tok
  [33/48] MiniMax-M2.5/B/七绝仄起  7.23s 1err 569tok
  [34/48] MiniMax-M2.5/B/七律平起  7.5s 1err 687tok
  [35/48] MiniMax-M2.5/B/七律仄起  38.06s 1err 4501tok
  [36/48] MiniMax-M2.5/B/五绝平起  17.36s 1err 1240tok
  [37/48] MiniMax-M2.5/B/五绝仄起首句入韵  11.46s 1err 782tok
  [38/48] MiniMax-M2.5/B/五律平起首句入韵  12.86s 1err 1111tok
  [39/48] MiniMax-M2.5/B/五绝平起首句入韵  7.6s 0err 549tok
  [40/48] MiniMax-M2.5/B/五律仄起首句入韵  92.62s 0err 11991tok
  [41/48] MiniMax-M2.5/B/戚氏  13.82s 1err 911tok
  [42/48] MiniMax-M2.5/B/皂罗特髻  12.45s 1err 916tok
  [43/48] MiniMax-M2.5/B/六州歌头  30.02s 1err 2627tok
  [44/48] MiniMax-M2.5/B/定风波  9.53s 24err 743tok
  [45/48] MiniMax-M2.5/B/调笑令  25.08s 1err 2669tok
  [46/48] MiniMax-M2.5/B/减字木兰花  24.97s 1err 2809tok
  [47/48] MiniMax-M2.5/B/翠楼吟  6.51s 1err 607tok
  [48/48] MiniMax-M2.5/B/西江月  77.67s 20err 10937tok
  MiniMax-M2.5/B: done (48 completed)

All done. Results in results/run_002/
