Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  MiniMax-M2.5/C: resume, 109 done, 35 remaining
  [1/35] MiniMax-M2.5/C/木兰花慢  82.78s 1err 7597tok
  [2/35] MiniMax-M2.5/C/瑞鹤仙  92.46s Noneerr 8313tok
  [3/35] MiniMax-M2.5/C/永遇乐  51.49s 1err 4028tok
  [4/35] MiniMax-M2.5/C/解连环  68.22s 1err 5676tok
  [5/35] MiniMax-M2.5/C/天香  35.88s 1err 2807tok
  [6/35] MiniMax-M2.5/C/莺啼序  6.47s 1err 519tok
  [7/35] MiniMax-M2.5/C/解语花  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [8/35] MiniMax-M2.5/C/凤凰台上忆吹箫  57.6s 1err 7172tok
  [9/35] MiniMax-M2.5/C/索酒  22.79s 1err 2269tok
  [10/35] MiniMax-M2.5/C/花发状元红慢  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [11/35] MiniMax-M2.5/C/庆春宫  56.65s 1err 6614tok
  [12/35] MiniMax-M2.5/C/无闷  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [13/35] MiniMax-M2.5/C/六花飞  77.38s 1err 7789tok
  [14/35] MiniMax-M2.5/C/杏花天慢  77.62s Noneerr 8234tok
  [15/35] MiniMax-M2.5/C/清风满桂楼  32.74s 1err 3215tok
  [16/35] MiniMax-M2.5/C/澡兰香  6.32s 1err 548tok
  [17/35] MiniMax-M2.5/C/蝶恋花  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [18/35] MiniMax-M2.5/C/踏莎行  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [19/35] MiniMax-M2.5/C/玉抱肚  8.76s 1err 642tok
  [20/35] MiniMax-M2.5/C/甘露歌  9.07s 1err 779tok
  [21/35] MiniMax-M2.5/C/韵令  6.46s 1err 483tok
  [22/35] MiniMax-M2.5/C/浪淘沙  5.29s 1err 432tok
  [23/35] MiniMax-M2.5/C/鹧鸪天  6.11s 1err 549tok
  [24/35] MiniMax-M2.5/C/生查子  80.1s Noneerr 8235tok
  [25/35] MiniMax-M2.5/C/破字令  6.38s 1err 533tok
  [26/35] MiniMax-M2.5/C/荔子丹  20.12s 1err 574tok
  [27/35] MiniMax-M2.5/C/菩萨蛮  50.68s 33err 5287tok
  [28/35] MiniMax-M2.5/C/荷叶铺水面  55.77s 1err 7415tok
  [29/35] MiniMax-M2.5/C/七绝仄起  33.94s 7err 4643tok
  [30/35] MiniMax-M2.5/C/五律平起首句入韵  6.02s 2err 475tok
  [31/35] MiniMax-M2.5/C/戚氏  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://platform-api.
  [32/35] MiniMax-M2.5/C/五绝平起首句入韵  47.31s 3err 5843tok
  [33/35] MiniMax-M2.5/C/调笑令  18.09s 1err 533tok
  [34/35] MiniMax-M2.5/C/定风波  8.02s 26err 688tok
  [35/35] MiniMax-M2.5/C/六州歌头  65.76s 1err 7937tok
  MiniMax-M2.5/C: done (35 completed)

All done. Results in results/run_002/
