Experiment: 8 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_002

  [1/144] DeepSeek-V3.2-reasoner/C/贺新郎  4.8s 2err 497tok
  [1/144] Qwen3.5-27B/C/满江红  4.02s 1err 256tok
  [2/144] Qwen3.5-27B/C/水调歌头  3.89s 1err 255tok
  [3/144] Qwen3.5-27B/C/贺新郎  6.13s 1err 277tok
  [4/144] Qwen3.5-27B/C/念奴娇  6.13s 1err 267tok
  [1/144] gpt-5.4/C/满江红  7.29s 1err 274tok
  [2/144] gpt-5.4/C/念奴娇  7.5s 0err 284tok
  [1/144] MiniMax-M2.5/C/念奴娇  8.22s 1err 535tok
  [2/144] MiniMax-M2.5/C/水调歌头  8.33s 1err 649tok
  [5/144] Qwen3.5-27B/C/沁园春  2.88s 1err 292tok
  [3/144] gpt-5.4/C/贺新郎  8.71s 1err 312tok
  [3/144] MiniMax-M2.5/C/满江红  8.9s 1err 534tok
  [4/144] MiniMax-M2.5/C/贺新郎  9.55s 1err 647tok
  [6/144] Qwen3.5-27B/C/满庭芳  2.66s 1err 259tok
  [7/144] Qwen3.5-27B/C/齐天乐  2.81s 1err 266tok
  [2/144] DeepSeek-V3.2-reasoner/C/沁园春  3.91s 4err 399tok
  [1/144] DeepSeek-V4-Pro/C/水调歌头  5.26s 3err 233tok
  [2/144] DeepSeek-V4-Pro/C/念奴娇  5.24s 4err 240tok
  [8/144] Qwen3.5-27B/C/摸鱼儿  2.94s 19err 273tok
  [4/144] gpt-5.4/C/水龙吟  5.1s 1err 286tok
  [9/144] Qwen3.5-27B/C/水龙吟  2.38s 3err 253tok
  [3/144] DeepSeek-V4-Pro/C/贺新郎  5.08s 4err 261tok
  [3/144] DeepSeek-V3.2-reasoner/C/满江红  5.62s 4err 374tok
  [4/144] DeepSeek-V3.2-reasoner/C/水龙吟  3.38s 1err 595tok
  [5/144] gpt-5.4/C/水调歌头  7.26s 4err 270tok
  [4/144] DeepSeek-V4-Pro/C/满江红  4.81s 3err 234tok
  [10/144] Qwen3.5-27B/C/八声甘州  2.35s 1err 260tok
  [5/144] DeepSeek-V4-Pro/C/沁园春  3.51s 2err 261tok
  [11/144] Qwen3.5-27B/C/瑞鹤仙  2.44s 1err 271tok
  [5/144] MiniMax-M2.5/C/齐天乐  7.06s 1err 480tok
  [12/144] Qwen3.5-27B/C/疏影  2.57s 1err 269tok
  [6/144] MiniMax-M2.5/C/水龙吟  9.28s 1err 738tok
  [6/144] DeepSeek-V4-Pro/C/齐天乐  3.77s 0err 246tok
  [6/144] gpt-5.4/C/沁园春  5.95s 6err 300tok
  [13/144] Qwen3.5-27B/C/声声慢  2.46s 41err 253tok
  [14/144] Qwen3.5-27B/C/高阳台  3.02s 8err 282tok
  [15/144] Qwen3.5-27B/C/木兰花慢  11.24s 1err 275tok
  [16/144] Qwen3.5-27B/C/永遇乐  3.31s 1err 273tok
  [7/144] DeepSeek-V4-Pro/C/满庭芳  2.81s 4err 236tok
  [17/144] Qwen3.5-27B/C/汉宫春  2.69s 1err 270tok
  [8/144] DeepSeek-V4-Pro/C/摸鱼儿  3.59s 5err 258tok
  [7/144] gpt-5.4/C/满庭芳  5.47s 5err 290tok
  [18/144] Qwen3.5-27B/C/一萼红  4.58s 1err 278tok
  [7/144] MiniMax-M2.5/C/摸鱼儿  9.63s 1err 773tok
  [8/144] MiniMax-M2.5/C/满庭芳  7.23s 10err 573tok
  [1/144] claude-opus-4-6/C/满江红  19.76s 3err 1014tok
  [8/144] gpt-5.4/C/摸鱼儿  5.72s 6err 299tok
  [19/144] Qwen3.5-27B/C/桂枝香  2.61s 1err 266tok
  [9/144] DeepSeek-V4-Pro/C/木兰花慢  3.25s 7err 253tok
  [10/144] DeepSeek-V4-Pro/C/水龙吟  3.61s 9err 255tok
  [9/144] gpt-5.4/C/齐天乐  5.87s 8err 292tok
  [2/144] claude-opus-4-6/C/贺新郎  27.97s 3err 1363tok
  [3/144] claude-opus-4-6/C/水调歌头  23.1s 4err 1252tok
  [10/144] gpt-5.4/C/木兰花慢  5.68s 10err 283tok
  [11/144] DeepSeek-V4-Pro/C/高阳台  3.38s 4err 247tok
  [4/144] claude-opus-4-6/C/念奴娇  26.72s 5err 1395tok
  [20/144] Qwen3.5-27B/C/望海潮  2.73s 1err 264tok
  [5/144] DeepSeek-V3.2-reasoner/C/念奴娇  30.82s 11err 4957tok
  [12/144] DeepSeek-V4-Pro/C/瑞鹤仙  3.26s 28err 250tok
  [13/144] DeepSeek-V4-Pro/C/八声甘州  2.95s 4err 242tok
  [14/144] DeepSeek-V4-Pro/C/疏影  3.49s 1err 262tok
  [11/144] gpt-5.4/C/高阳台  5.2s 3err 298tok
  [15/144] DeepSeek-V4-Pro/C/声声慢  3.08s 21err 240tok
  [12/144] gpt-5.4/C/八声甘州  5.83s 1err 282tok
  [21/144] Qwen3.5-27B/C/忆旧游  12.34s 1err 264tok
  [13/144] gpt-5.4/C/瑞鹤仙  5.2s 28err 291tok
  [22/144] Qwen3.5-27B/C/琐窗寒  12.83s 1err 282tok
  [14/144] gpt-5.4/C/疏影  5.31s 14err 298tok
  [15/144] gpt-5.4/C/声声慢  5.24s 1err 294tok
  [16/144] DeepSeek-V4-Pro/C/永遇乐  3.4s 4err 246tok
  [16/144] gpt-5.4/C/永遇乐  5.56s 1err 291tok
  [17/144] DeepSeek-V4-Pro/C/琐窗寒  0.82s 1err 131tok
  [18/144] DeepSeek-V4-Pro/C/忆旧游  3.16s 1err 244tok
  [19/144] DeepSeek-V4-Pro/C/一萼红  3.38s 1err 252tok
  [20/144] DeepSeek-V4-Pro/C/汉宫春  3.1s 1err 242tok
  [17/144] gpt-5.4/C/忆旧游  5.44s 1err 291tok
  [18/144] gpt-5.4/C/汉宫春  5.44s 13err 281tok
  [19/144] gpt-5.4/C/琐窗寒  6.33s 1err 290tok
  [21/144] DeepSeek-V4-Pro/C/桂枝香  3.09s 4err 239tok
  [20/144] gpt-5.4/C/一萼红  5.51s 2err 296tok
  [22/144] DeepSeek-V4-Pro/C/长亭怨慢  3.25s 1err 251tok
  [6/144] DeepSeek-V3.2-reasoner/C/水调歌头  47.74s 1err 5519tok
  [5/144] claude-opus-4-6/C/水龙吟  20.58s 1err 1323tok
  [7/144] DeepSeek-V3.2-reasoner/C/满庭芳  32.29s 6err 5690tok
  [23/144] Qwen3.5-27B/C/渡江云  19.96s 1err 270tok
  [23/144] DeepSeek-V4-Pro/C/望海潮  3.18s 6err 248tok
  [24/144] DeepSeek-V4-Pro/C/渡江云  3.05s 4err 240tok
  [21/144] gpt-5.4/C/望海潮  5.18s 1err 293tok
  [22/144] gpt-5.4/C/长亭怨慢  6.22s 1err 282tok
  [25/144] DeepSeek-V4-Pro/C/醉蓬莱  3.03s 10err 245tok
  [26/144] DeepSeek-V4-Pro/C/兰陵王  4.39s 7err 290tok
  [24/144] Qwen3.5-27B/C/醉蓬莱  19.87s 67err 258tok
  [27/144] DeepSeek-V4-Pro/C/解连环  3.55s 19err 254tok
  [23/144] gpt-5.4/C/桂枝香  5.18s 4err 288tok
  [6/144] claude-opus-4-6/C/齐天乐  25.11s 1err 1402tok
  [7/144] claude-opus-4-6/C/沁园春  24.62s 5err 1475tok
  [24/144] gpt-5.4/C/渡江云  4.76s 7err 275tok
  [28/144] DeepSeek-V4-Pro/C/南浦  2.07s 1err 187tok
  [25/144] Qwen3.5-27B/C/兰陵王  21.85s 1err 386tok
  [25/144] gpt-5.4/C/醉蓬莱  5.18s 1err 288tok
  [8/144] claude-opus-4-6/C/满庭芳  24.65s 3err 1671tok
  [29/144] DeepSeek-V4-Pro/C/东风第一枝  3.38s 1err 256tok
  [30/144] DeepSeek-V4-Pro/C/玉漏迟  0.77s 1err 131tok
