Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] DeepSeek-V3.2-reasoner/A/念奴娇  62.62s 0err 14038tok
  [2/144] DeepSeek-V3.2-reasoner/A/贺新郎  82.09s 0err 14311tok
  [3/144] DeepSeek-V3.2-reasoner/A/满江红  103.96s 0err 18874tok
  [4/144] DeepSeek-V3.2-reasoner/A/水调歌头  105.4s 0err 18156tok
  [5/144] DeepSeek-V3.2-reasoner/A/沁园春  151.14s 0err 22834tok
  [6/144] DeepSeek-V3.2-reasoner/A/齐天乐  113.18s 0err 17680tok
  [7/144] DeepSeek-V3.2-reasoner/A/满庭芳  120.91s 0err 21673tok
  [8/144] DeepSeek-V3.2-reasoner/A/水龙吟  144.65s 0err 23235tok
  [9/144] DeepSeek-V3.2-reasoner/A/八声甘州  98.33s 0err 18793tok
  [10/144] DeepSeek-V3.2-reasoner/A/高阳台  101.35s 0err 16508tok
  [11/144] DeepSeek-V3.2-reasoner/A/摸鱼儿  136.07s 0err 23204tok
  [12/144] DeepSeek-V3.2-reasoner/A/木兰花慢  135.89s 0err 24516tok
  [13/144] DeepSeek-V3.2-reasoner/A/永遇乐  73.55s 0err 14306tok
  [14/144] DeepSeek-V3.2-reasoner/A/瑞鹤仙  106.72s 0err 21108tok
  [15/144] DeepSeek-V3.2-reasoner/A/疏影  157.38s 0err 22104tok
  [16/144] DeepSeek-V3.2-reasoner/A/声声慢  140.08s 0err 27409tok
  [17/144] DeepSeek-V3.2-reasoner/A/汉宫春  117.29s 0err 18056tok
  [18/144] DeepSeek-V3.2-reasoner/A/琐窗寒  128.88s 0err 15255tok
  [19/144] DeepSeek-V3.2-reasoner/A/一萼红  128.97s 0err 19443tok
  [20/144] DeepSeek-V3.2-reasoner/A/忆旧游  144.14s 0err 17743tok
  [21/144] DeepSeek-V3.2-reasoner/A/桂枝香  84.12s 0err 15113tok
  [22/144] DeepSeek-V3.2-reasoner/A/长亭怨慢  104.32s 0err 14109tok
  [23/144] DeepSeek-V3.2-reasoner/A/渡江云  108.66s 0err 15484tok
  [24/144] DeepSeek-V3.2-reasoner/A/望海潮  132.34s 0err 18038tok
  [25/144] DeepSeek-V3.2-reasoner/A/醉蓬莱  126.24s 0err 16925tok
  [26/144] DeepSeek-V3.2-reasoner/A/解连环  93.46s 0err 16310tok
  [27/144] DeepSeek-V3.2-reasoner/A/三姝媚  88.64s 0err 14916tok
  [28/144] DeepSeek-V3.2-reasoner/A/兰陵王  201.35s 0err 28030tok
  [29/144] DeepSeek-V3.2-reasoner/A/东风第一枝  96.54s 0err 18184tok
  [30/144] DeepSeek-V3.2-reasoner/A/南浦  117.17s 0err 19552tok
  [31/144] DeepSeek-V3.2-reasoner/A/天香  124.27s 0err 22179tok
  [32/144] DeepSeek-V3.2-reasoner/A/玉漏迟  147.01s 0err 18238tok
  [33/144] DeepSeek-V3.2-reasoner/A/凤凰台上忆吹箫  84.12s 0err 12910tok
  [34/144] DeepSeek-V3.2-reasoner/A/暗香  94.81s 0err 13880tok
  [35/144] DeepSeek-V3.2-reasoner/A/绮罗香  104.42s 0err 20829tok
  [36/144] DeepSeek-V3.2-reasoner/A/莺啼序  131.24s 0err 26389tok
  [37/144] DeepSeek-V3.2-reasoner/A/扬州慢  112.9s 0err 17622tok
  [38/144] DeepSeek-V3.2-reasoner/A/霜叶飞  134.33s 0err 21969tok
  [39/144] DeepSeek-V3.2-reasoner/A/多丽  122.15s 0err 17816tok
  [40/144] DeepSeek-V3.2-reasoner/A/扫地游  177.88s 0err 26331tok
  [41/144] DeepSeek-V3.2-reasoner/A/玲珑四犯  106.84s 0err 16995tok
  [42/144] DeepSeek-V3.2-reasoner/A/法曲献仙音  92.18s 0err 15848tok
  [43/144] DeepSeek-V3.2-reasoner/A/解语花  81.47s 0err 17000tok
  [44/144] DeepSeek-V3.2-reasoner/A/绛都春  147.01s 0err 25724tok
  [45/144] DeepSeek-V3.2-reasoner/A/琵琶仙  110.36s 0err 20343tok
  [46/144] DeepSeek-V3.2-reasoner/A/石州慢  100.54s 0err 18322tok
  [47/144] DeepSeek-V3.2-reasoner/A/庆春宫  151.45s 0err 14554tok
  [48/144] DeepSeek-V3.2-reasoner/A/选冠子  100.9s 0err 19904tok
  [49/144] DeepSeek-V3.2-reasoner/A/意难忘  42.99s 0err 9902tok
  [50/144] DeepSeek-V3.2-reasoner/A/甘露滴乔松  62.58s 0err 12832tok
  [51/144] DeepSeek-V3.2-reasoner/A/倦寻芳  105.28s 0err 19188tok
  [52/144] DeepSeek-V3.2-reasoner/A/穆护砂  112.3s 0err 24013tok
  [53/144] DeepSeek-V3.2-reasoner/A/绕池游慢  54.13s 0err 12049tok
  [54/144] DeepSeek-V3.2-reasoner/A/索酒  139.26s 0err 25624tok
  [55/144] DeepSeek-V3.2-reasoner/A/落梅  73.94s 0err 14220tok
  [56/144] DeepSeek-V3.2-reasoner/A/花发状元红慢  131.24s 0err 22848tok
