Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] DeepSeek-V4-Pro/A/水调歌头  45.31s 0err 10315tok
  [2/144] DeepSeek-V4-Pro/A/念奴娇  53.15s 0err 11813tok
  [3/144] DeepSeek-V4-Pro/A/贺新郎  55.28s 0err 12921tok
  [4/144] DeepSeek-V4-Pro/A/沁园春  22.68s 0err 8133tok
  [5/144] DeepSeek-V4-Pro/A/满江红  81.45s 0err 16375tok
  [6/144] DeepSeek-V4-Pro/A/满庭芳  38.91s 0err 10121tok
  [7/144] DeepSeek-V4-Pro/A/摸鱼儿  26.41s 0err 8409tok
  [8/144] DeepSeek-V4-Pro/A/水龙吟  71.21s 0err 15641tok
  [9/144] DeepSeek-V4-Pro/A/高阳台  38.1s 0err 9057tok
  [10/144] DeepSeek-V4-Pro/A/木兰花慢  52.89s 0err 11690tok
  [11/144] DeepSeek-V4-Pro/A/齐天乐  86.57s 0err 16231tok
  [12/144] DeepSeek-V4-Pro/A/疏影  27.01s 0err 8325tok
  [13/144] DeepSeek-V4-Pro/A/八声甘州  63.62s 0err 12218tok
  [14/144] DeepSeek-V4-Pro/A/声声慢  58.27s 0err 13725tok
  [15/144] DeepSeek-V4-Pro/A/永遇乐  50.21s 0err 11729tok
  [16/144] DeepSeek-V4-Pro/A/瑞鹤仙  97.81s 0err 19291tok
  [17/144] DeepSeek-V4-Pro/A/汉宫春  30.76s 0err 8619tok
  [18/144] DeepSeek-V4-Pro/A/一萼红  36.33s 0err 8509tok
  [19/144] DeepSeek-V4-Pro/A/琐窗寒  44.89s 0err 10117tok
  [20/144] DeepSeek-V4-Pro/A/忆旧游  49.99s 0err 10822tok
  [21/144] DeepSeek-V4-Pro/A/望海潮  28.85s 0err 7755tok
  [22/144] DeepSeek-V4-Pro/A/桂枝香  45.24s 0err 10538tok
  [23/144] DeepSeek-V4-Pro/A/渡江云  42.85s 0err 9341tok
  [24/144] DeepSeek-V4-Pro/A/醉蓬莱  33.27s 0err 8355tok
  [25/144] DeepSeek-V4-Pro/A/解连环  50.14s 0err 14699tok
  [26/144] DeepSeek-V4-Pro/A/长亭怨慢  100.38s 0err 17407tok
  [27/144] DeepSeek-V4-Pro/A/兰陵王  94.27s 0err 17507tok
  [28/144] DeepSeek-V4-Pro/A/三姝媚  75.18s 0err 12649tok
  [29/144] DeepSeek-V4-Pro/A/东风第一枝  48.41s 0err 11108tok
  [30/144] DeepSeek-V4-Pro/A/南浦  65.01s 0err 12761tok
  [31/144] DeepSeek-V4-Pro/A/天香  62.84s 0err 13586tok
  [32/144] DeepSeek-V4-Pro/A/玉漏迟  60.04s 0err 12437tok
  [33/144] DeepSeek-V4-Pro/A/绮罗香  28.36s 0err 10396tok
  [34/144] DeepSeek-V4-Pro/A/暗香  62.71s 0err 11053tok
  [35/144] DeepSeek-V4-Pro/A/凤凰台上忆吹箫  78.18s 0err 14806tok
  [36/144] DeepSeek-V4-Pro/A/霜叶飞  70.84s 0err 12926tok
  [37/144] DeepSeek-V4-Pro/A/扬州慢  81.04s 0err 13626tok
  [38/144] DeepSeek-V4-Pro/A/多丽  51.97s 0err 10541tok
  [39/144] DeepSeek-V4-Pro/A/扫地游  106.83s 0err 16313tok
  [40/144] DeepSeek-V4-Pro/A/莺啼序  214.87s 0err 30769tok
  [41/144] DeepSeek-V4-Pro/A/玲珑四犯  89.33s 0err 14442tok
  [42/144] DeepSeek-V4-Pro/A/绛都春  96.35s 0err 16880tok
  [43/144] DeepSeek-V4-Pro/A/法曲献仙音  84.9s 0err 16006tok
  [44/144] DeepSeek-V4-Pro/A/解语花  78.93s 0err 13956tok
  [45/144] DeepSeek-V4-Pro/A/石州慢  29.82s 0err 8826tok
  [46/144] DeepSeek-V4-Pro/A/庆春宫  69.19s 0err 13419tok
  [47/144] DeepSeek-V4-Pro/A/琵琶仙  105.66s 0err 16692tok
  [48/144] DeepSeek-V4-Pro/A/选冠子  69.2s 0err 14527tok
  [49/144] DeepSeek-V4-Pro/A/穆护砂  44.45s 0err 8757tok
  [50/144] DeepSeek-V4-Pro/A/倦寻芳  58.94s 0err 10658tok
  [51/144] DeepSeek-V4-Pro/A/意难忘  94.31s 0err 16104tok
  [52/144] DeepSeek-V4-Pro/A/绕池游慢  73.7s 0err 12670tok
  [53/144] DeepSeek-V4-Pro/A/索酒  116.42s 0err 18476tok
  [54/144] DeepSeek-V4-Pro/A/甘露滴乔松  176.98s 0err 27003tok
  [55/144] DeepSeek-V4-Pro/A/胜州令  96.6s 1err 16377tok
  [56/144] DeepSeek-V4-Pro/A/落梅  47.29s 0err 9882tok
  [57/144] DeepSeek-V4-Pro/A/花发状元红慢  105.46s 0err 17867tok
  [58/144] DeepSeek-V4-Pro/A/行香子慢  66.6s 0err 12308tok
  [59/144] DeepSeek-V4-Pro/A/远朝归  80.7s 0err 14164tok
  [60/144] DeepSeek-V4-Pro/A/逍遥乐  70.21s 0err 13025tok
  [61/144] DeepSeek-V4-Pro/A/雪夜渔舟  25.32s 0err 7017tok
  [62/144] DeepSeek-V4-Pro/A/长寿仙  62.71s 0err 11219tok
  [63/144] DeepSeek-V4-Pro/A/金浮图  83.73s 0err 14856tok
  [64/144] DeepSeek-V4-Pro/A/飞龙宴  52.92s 0err 10643tok
  [65/144] DeepSeek-V4-Pro/A/个侬  43.56s 0err 8543tok
  [66/144] DeepSeek-V4-Pro/A/六花飞  77.6s 0err 13233tok
  [67/144] DeepSeek-V4-Pro/A/四槛花  38.72s 0err 8548tok
  [68/144] DeepSeek-V4-Pro/A/内家娇  106.61s 0err 16786tok
  [69/144] DeepSeek-V4-Pro/A/大椿  64.44s 0err 12097tok
  [70/144] DeepSeek-V4-Pro/A/如鱼水  61.05s 0err 10215tok
  [71/144] DeepSeek-V4-Pro/A/恋芳春慢  45.54s 0err 9321tok
  [72/144] DeepSeek-V4-Pro/A/征部乐  48.33s 1err 9157tok
  [73/144] DeepSeek-V4-Pro/A/小圣乐  87.16s 1err 12734tok
  [74/144] DeepSeek-V4-Pro/A/三台（大曲）  212.07s 0err 31198tok
  [75/144] DeepSeek-V4-Pro/A/惜寒梅  24.31s 0err 6722tok
  [76/144] DeepSeek-V4-Pro/A/望南云慢  32.03s 0err 7506tok
  [77/144] DeepSeek-V4-Pro/A/无闷  70.93s 0err 12436tok
  [78/144] DeepSeek-V4-Pro/A/早梅芳慢  87.79s 0err 14889tok
  [79/144] DeepSeek-V4-Pro/A/春雪间早梅  70.88s 0err 11409tok
  [80/144] DeepSeek-V4-Pro/A/望明河  70.09s 0err 12581tok
  [81/144] DeepSeek-V4-Pro/A/期夜月  65.45s 0err 10647tok
  [82/144] DeepSeek-V4-Pro/A/杏花天慢  84.08s 0err 14172tok
  [83/144] DeepSeek-V4-Pro/A/清风满桂楼  99.25s 0err 15416tok
  [84/144] DeepSeek-V4-Pro/A/澡兰香  54.91s 0err 10830tok
  [85/144] DeepSeek-V4-Pro/A/梦扬州  134.21s 0err 10442tok
  [86/144] DeepSeek-V4-Pro/A/玉梅香慢  36.96s 0err 7981tok
  [87/144] DeepSeek-V4-Pro/A/玉抱肚  122.07s 0err 18941tok
  [88/144] DeepSeek-V4-Pro/A/瑞云浓慢  78.07s 0err 13580tok
  [89/144] DeepSeek-V4-Pro/A/玉连环  96.68s 0err 15747tok
  [90/144] DeepSeek-V4-Pro/A/翠羽吟  50.12s 0err 9606tok
  [91/144] DeepSeek-V4-Pro/A/真珠髻  128.27s 0err 19082tok
  [92/144] DeepSeek-V4-Pro/A/红芍药  58.4s 0err 11490tok
  [93/144] DeepSeek-V4-Pro/A/舜韶新  69.12s 0err 12523tok
  [94/144] DeepSeek-V4-Pro/A/菩萨蛮慢  43.06s 0err 9104tok
  [95/144] DeepSeek-V4-Pro/A/西吴曲  83.99s 0err 14181tok
  [96/144] DeepSeek-V4-Pro/A/蜀溪春  99.8s 0err 16181tok
  [97/144] DeepSeek-V4-Pro/A/赏松菊  66.78s 0err 12376tok
  [98/144] DeepSeek-V4-Pro/A/雪明鳷鹊夜  75.06s 0err 12762tok
  [99/144] DeepSeek-V4-Pro/A/采明珠  75.75s 0err 12871tok
