Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] GLM-5.1/A/水调歌头  334.21s 0err 27409tok
  [2/144] GLM-5.1/A/满江红  336.62s 0err 29218tok
  [3/144] GLM-5.1/A/贺新郎  359.57s 0err 31277tok
  [4/144] GLM-5.1/A/念奴娇  470.35s 0err 36283tok
  [5/144] GLM-5.1/A/水龙吟  401.33s 0err 31842tok
  [6/144] GLM-5.1/A/满庭芳  482.4s 0err 36426tok
  [7/144] GLM-5.1/A/齐天乐  373.68s 0err 28721tok
  [8/144] GLM-5.1/A/沁园春  605.14s 0err 44547tok
  [9/144] GLM-5.1/A/摸鱼儿  305.1s 0err 26091tok
  [10/144] GLM-5.1/A/八声甘州  304.24s 0err 25802tok
  [11/144] GLM-5.1/A/高阳台  421.52s 0err 31240tok
  [12/144] GLM-5.1/A/木兰花慢  470.0s 0err 34191tok
  [13/144] GLM-5.1/A/瑞鹤仙  508.27s 0err 37714tok
  [14/144] GLM-5.1/A/永遇乐  349.66s 0err 26953tok
  [15/144] GLM-5.1/A/疏影  580.79s 0err 38201tok
  [16/144] GLM-5.1/A/声声慢  563.5s 0err 38176tok
  [17/144] GLM-5.1/A/一萼红  257.84s 0err 20187tok
  [18/144] GLM-5.1/A/汉宫春  293.59s 0err 23375tok
  [19/144] GLM-5.1/A/琐窗寒  335.79s 0err 25910tok
  [20/144] GLM-5.1/A/忆旧游  341.4s 0err 26476tok
  [21/144] GLM-5.1/A/长亭怨慢  259.12s 0err 21966tok
  [22/144] GLM-5.1/A/桂枝香  388.75s 0err 30268tok
  [23/144] GLM-5.1/A/渡江云  400.28s 0err 28334tok
  [24/144] GLM-5.1/A/望海潮  470.27s 0err 34325tok
  [25/144] GLM-5.1/A/醉蓬莱  365.21s 0err 27500tok
  [26/144] GLM-5.1/A/三姝媚  254.65s 0err 21165tok
  [27/144] GLM-5.1/A/解连环  386.41s 0err 27197tok
  [28/144] GLM-5.1/A/兰陵王  557.48s 0err 39059tok
  [29/144] GLM-5.1/A/南浦  482.93s 0err 35288tok
  [30/144] GLM-5.1/A/玉漏迟  248.18s 0err 18579tok
  [31/144] GLM-5.1/A/天香  433.55s 0err 30733tok
  [32/144] GLM-5.1/A/东风第一枝  752.91s 0err 59945tok
  [33/144] GLM-5.1/A/凤凰台上忆吹箫  279.41s 0err 20837tok
  [34/144] GLM-5.1/A/暗香  480.39s 0err 34375tok
  [35/144] GLM-5.1/A/莺啼序  500.57s 0err 38319tok
  [36/144] GLM-5.1/A/绮罗香  544.88s 0err 32163tok
  [37/144] GLM-5.1/A/霜叶飞  293.54s 0err 22501tok
  [38/144] GLM-5.1/A/扫地游  287.73s 0err 22668tok
  [39/144] GLM-5.1/A/多丽  420.83s 0err 30935tok
  [40/144] GLM-5.1/A/扬州慢  495.61s 0err 32966tok
  [41/144] GLM-5.1/A/玲珑四犯  444.08s 0err 31570tok
  [42/144] GLM-5.1/A/法曲献仙音  180.86s 0err 16774tok
  [43/144] GLM-5.1/A/绛都春  516.34s 0err 35007tok
  [44/144] GLM-5.1/A/庆春宫  561.82s 0err 36946tok
  [45/144] GLM-5.1/A/解语花  764.37s 0err 47086tok
  [46/144] GLM-5.1/A/琵琶仙  619.03s 0err 39668tok
  [47/144] GLM-5.1/A/石州慢  641.04s 0err 42354tok
  [48/144] GLM-5.1/A/选冠子  695.71s 0err 47537tok
  [49/144] GLM-5.1/A/意难忘  204.55s 0err 16454tok
  [50/144] GLM-5.1/A/倦寻芳  522.99s 0err 34993tok
  [51/144] GLM-5.1/A/甘露滴乔松  735.13s 0err 46091tok
  [52/144] GLM-5.1/A/穆护砂  790.78s 0err 50195tok
  [53/144] GLM-5.1/A/索酒  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [54/144] GLM-5.1/A/绕池游慢  527.99s 0err 33713tok
  [55/144] GLM-5.1/A/花发状元红慢  408.34s 0err 27366tok
  [56/144] GLM-5.1/A/落梅  447.79s 0err 30394tok
  [57/144] GLM-5.1/A/胜州令  653.06s 0err 44046tok
  [58/144] GLM-5.1/A/行香子慢  355.81s 0err 25716tok
  [59/144] GLM-5.1/A/远朝归  463.94s 0err 30077tok
  [60/144] GLM-5.1/A/长寿仙  465.36s 0err 30984tok
  [61/144] GLM-5.1/A/金浮图  505.33s 0err 33441tok
  [62/144] GLM-5.1/A/逍遥乐  706.98s 0err 43374tok
  [63/144] GLM-5.1/A/雪夜渔舟  507.68s 0err 35155tok
  [64/144] GLM-5.1/A/飞龙宴  399.15s 0err 26408tok
  [65/144] GLM-5.1/A/内家娇  504.97s 0err 31227tok
  [66/144] GLM-5.1/A/个侬  547.29s 0err 37197tok
  [67/144] GLM-5.1/A/四槛花  217.02s 0err 15737tok
  [68/144] GLM-5.1/A/六花飞  738.57s 0err 44267tok
  [69/144] GLM-5.1/A/大椿  268.86s 0err 18023tok
  [70/144] GLM-5.1/A/三台（大曲）  888.82s 0err 54336tok
  [71/144] GLM-5.1/A/如鱼水  363.4s 0err 24147tok
  [72/144] GLM-5.1/A/恋芳春慢  323.65s 0err 21586tok
  [73/144] GLM-5.1/A/征部乐  400.52s 0err 27292tok
  [74/144] GLM-5.1/A/小圣乐  706.87s 0err 42096tok
  [75/144] GLM-5.1/A/惜寒梅  371.72s 0err 24432tok
  [76/144] GLM-5.1/A/早梅芳慢  333.31s 0err 22638tok
  [77/144] GLM-5.1/A/望南云慢  414.72s 0err 26544tok
  [78/144] GLM-5.1/A/春雪间早梅  665.92s 0err 41875tok
  [79/144] GLM-5.1/A/望明河  646.1s 0err 42882tok
  [80/144] GLM-5.1/A/无闷  1061.56s 0err 60436tok
  [81/144] GLM-5.1/A/期夜月  277.64s 0err 20795tok
  [82/144] GLM-5.1/A/梦扬州  365.24s 0err 23559tok
  [83/144] GLM-5.1/A/清风满桂楼  674.6s 0err 44853tok
  [84/144] GLM-5.1/A/澡兰香  404.98s 0err 26244tok
  [85/144] GLM-5.1/A/玉抱肚  485.37s 0err 31707tok
  [86/144] GLM-5.1/A/杏花天慢  871.37s 0err 51213tok
  [87/144] GLM-5.1/A/玉梅香慢  406.19s 0err 25584tok
  [88/144] GLM-5.1/A/玉连环  472.27s 0err 31424tok
  [89/144] GLM-5.1/A/瑞云浓慢  ERROR: 'Unknown tool: boxed'
  [90/144] GLM-5.1/A/真珠髻  482.51s 0err 28487tok
  [91/144] GLM-5.1/A/红芍药  399.01s 0err 27252tok
  [92/144] GLM-5.1/A/菩萨蛮慢  408.94s 0err 28525tok
  [93/144] GLM-5.1/A/翠羽吟  636.8s 0err 37346tok
  [94/144] GLM-5.1/A/蜀溪春  558.54s 0err 35570tok
  [95/144] GLM-5.1/A/西吴曲  730.29s 0err 43894tok
  [96/144] GLM-5.1/A/舜韶新  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [97/144] GLM-5.1/A/赏松菊  232.17s 0err 16804tok
  [98/144] GLM-5.1/A/阳台路  393.15s 0err 24787tok
  [99/144] GLM-5.1/A/蝶恋花  230.95s 0err 16583tok
  [100/144] GLM-5.1/A/采明珠  475.07s 0err 29435tok
  [101/144] GLM-5.1/A/雪明鳷鹊夜  520.87s 0err 32270tok
  [102/144] GLM-5.1/A/忆江南  153.43s 0err 11295tok
  [103/144] GLM-5.1/A/踏莎行  261.09s 0err 18405tok
  [104/144] GLM-5.1/A/渔家傲  328.41s 0err 23407tok
  [105/144] GLM-5.1/A/甘露歌  308.79s 2err 20782tok
  [106/144] GLM-5.1/A/钿带长中调  244.94s 0err 16807tok
  [107/144] GLM-5.1/A/洞仙歌  533.19s 0err 36811tok
  [108/144] GLM-5.1/A/荷华媚  362.94s 0err 22908tok
  [109/144] GLM-5.1/A/隔帘听  ERROR: 'Unknown tool: \\boxed{漫拂旧妆奁侧，翠镜尘封小。芳姿暗减谁知晓。惯掩玉函深，冷光已杳。意渐少。念当时、画唇轻巧。红颜好。施朱微笑。倦对孤
  [110/144] GLM-5.1/A/浣溪沙  130.48s 0err 10297tok
  [111/144] GLM-5.1/A/韵令  190.46s 0err 12510tok
  [112/144] GLM-5.1/A/浪淘沙  179.24s 0err 14054tok
  [113/144] GLM-5.1/A/菩萨蛮  143.94s 0err 11470tok
  [114/144] GLM-5.1/A/生查子  147.07s 0err 11451tok
  [115/144] GLM-5.1/A/鹧鸪天  218.77s 0err 16213tok
  [116/144] GLM-5.1/A/破字令  274.54s 0err 18187tok
  [117/144] GLM-5.1/A/荔子丹  151.36s 0err 10912tok
  [118/144] GLM-5.1/A/竹香子  229.66s 0err 14954tok
  [119/144] GLM-5.1/A/七律平起首句入韵  121.86s 0err 10621tok
  [120/144] GLM-5.1/A/荷叶铺水面  225.98s 0err 14333tok
  [121/144] GLM-5.1/A/五律仄起  85.41s 0err 7203tok
  [122/144] GLM-5.1/A/醉高歌  272.41s 0err 18510tok
  [123/144] GLM-5.1/A/七律仄起首句入韵  181.44s 0err 12770tok
  [124/144] GLM-5.1/A/七绝仄起首句入韵  112.13s 0err 8821tok
  [125/144] GLM-5.1/A/七绝平起首句入韵  83.64s 0err 7720tok
  [126/144] GLM-5.1/A/五绝仄起  44.16s 0err 5159tok
  [127/144] GLM-5.1/A/七绝平起  165.35s 0err 11983tok
  [128/144] GLM-5.1/A/五律平起  184.65s 0err 13341tok
  [129/144] GLM-5.1/A/七绝仄起  38.24s 0err 4724tok
  [130/144] GLM-5.1/A/七律仄起  72.24s 0err 6487tok
  [131/144] GLM-5.1/A/七律平起  112.68s 0err 8940tok
  [132/144] GLM-5.1/A/五绝平起  148.09s 0err 10736tok
  [133/144] GLM-5.1/A/五律仄起首句入韵  239.38s 0err 15603tok
  [134/144] GLM-5.1/A/五律平起首句入韵  130.8s 0err 10391tok
  [135/144] GLM-5.1/A/五绝平起首句入韵  67.31s 0err 6354tok
  [136/144] GLM-5.1/A/五绝仄起首句入韵  187.22s 0err 12399tok
  [137/144] GLM-5.1/A/调笑令  184.68s 0err 14302tok
  [138/144] GLM-5.1/A/六州歌头  321.17s 0err 24905tok
  [139/144] GLM-5.1/A/皂罗特髻  361.83s 0err 24108tok
  [140/144] GLM-5.1/A/减字木兰花  169.91s 0err 12009tok
  [141/144] GLM-5.1/A/西江月  ERROR: 'Unknown tool: \\boxed{}'
  [142/144] GLM-5.1/A/定风波  361.96s 0err 24844tok
  [143/144] GLM-5.1/A/翠楼吟  572.46s 0err 38387tok
  [144/144] GLM-5.1/A/戚氏  1796.63s 1err 123761tok
  GLM-5.1/A: done (144 completed)

All done. Results in results/run_003/
