Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] Qwen3.5-Plus/A/水调歌头  107.75s 0err 10820tok
  [2/144] Qwen3.5-Plus/A/贺新郎  107.92s 0err 11621tok
  [3/144] Qwen3.5-Plus/A/水龙吟  194.06s 0err 18163tok
  [4/144] Qwen3.5-Plus/A/念奴娇  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [5/144] Qwen3.5-Plus/A/满江红  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [6/144] Qwen3.5-Plus/A/沁园春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [7/144] Qwen3.5-Plus/A/木兰花慢  126.39s 0err 12732tok
  [8/144] Qwen3.5-Plus/A/高阳台  70.29s 0err 7723tok
  [9/144] Qwen3.5-Plus/A/八声甘州  121.18s 0err 11509tok
  [10/144] Qwen3.5-Plus/A/满庭芳  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [11/144] Qwen3.5-Plus/A/齐天乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [12/144] Qwen3.5-Plus/A/摸鱼儿  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [13/144] Qwen3.5-Plus/A/瑞鹤仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [14/144] Qwen3.5-Plus/A/疏影  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [15/144] Qwen3.5-Plus/A/声声慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [16/144] Qwen3.5-Plus/A/永遇乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [17/144] Qwen3.5-Plus/A/一萼红  177.64s 0err 14121tok
  [18/144] Qwen3.5-Plus/A/汉宫春  200.94s 0err 17141tok
  [19/144] Qwen3.5-Plus/A/琐窗寒  321.62s 0err 27276tok
  [20/144] Qwen3.5-Plus/A/长亭怨慢  323.16s 0err 23094tok
  [21/144] Qwen3.5-Plus/A/忆旧游  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [22/144] Qwen3.5-Plus/A/桂枝香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [23/144] Qwen3.5-Plus/A/望海潮  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [24/144] Qwen3.5-Plus/A/醉蓬莱  165.6s 0err 12950tok
  [25/144] Qwen3.5-Plus/A/渡江云  269.59s 0err 19784tok
  [26/144] Qwen3.5-Plus/A/兰陵王  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [27/144] Qwen3.5-Plus/A/三姝媚  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [28/144] Qwen3.5-Plus/A/解连环  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
