Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] claude-opus-4-6/A/念奴娇  52.82s 0err 14665tok
  [2/144] claude-opus-4-6/A/水调歌头  67.07s 0err 15754tok
  [3/144] claude-opus-4-6/A/满江红  68.58s 0err 15483tok
  [4/144] claude-opus-4-6/A/贺新郎  85.02s 0err 16840tok
  [5/144] claude-opus-4-6/A/满庭芳  80.84s 0err 15639tok
  [6/144] claude-opus-4-6/A/齐天乐  70.38s 0err 16212tok
  [7/144] claude-opus-4-6/A/水龙吟  88.66s 0err 19439tok
  [8/144] claude-opus-4-6/A/沁园春  123.82s 0err 18539tok
  [9/144] claude-opus-4-6/A/摸鱼儿  52.73s 0err 15226tok
  [10/144] claude-opus-4-6/A/八声甘州  43.76s 0err 13385tok
  [11/144] claude-opus-4-6/A/木兰花慢  81.7s 0err 16974tok
  [12/144] claude-opus-4-6/A/疏影  62.9s 0err 13985tok
  [13/144] claude-opus-4-6/A/声声慢  93.46s 0err 18166tok
  [14/144] claude-opus-4-6/A/瑞鹤仙  129.81s 0err 20616tok
  [15/144] claude-opus-4-6/A/永遇乐  93.14s 0err 16144tok
  [16/144] claude-opus-4-6/A/高阳台  255.39s 0err 26518tok
  [17/144] claude-opus-4-6/A/忆旧游  36.61s 0err 13047tok
  [18/144] claude-opus-4-6/A/琐窗寒  67.37s 0err 13432tok
  [19/144] claude-opus-4-6/A/一萼红  71.67s 0err 13758tok
  [20/144] claude-opus-4-6/A/汉宫春  116.93s 0err 17938tok
  [21/144] claude-opus-4-6/A/渡江云  61.41s 0err 11998tok
  [22/144] claude-opus-4-6/A/桂枝香  154.71s 0err 20776tok
  [23/144] claude-opus-4-6/A/长亭怨慢  133.57s 0err 17084tok
  [24/144] claude-opus-4-6/A/醉蓬莱  55.8s 0err 12513tok
  [25/144] claude-opus-4-6/A/望海潮  177.39s 0err 18866tok
  [26/144] claude-opus-4-6/A/三姝媚  93.36s 0err 16196tok
  [27/144] claude-opus-4-6/A/解连环  138.5s 0err 19098tok
  [28/144] claude-opus-4-6/A/兰陵王  196.61s 0err 23907tok
  [29/144] claude-opus-4-6/A/东风第一枝  62.92s 0err 13446tok
  [30/144] claude-opus-4-6/A/南浦  191.21s 0err 21892tok
  [31/144] claude-opus-4-6/A/玉漏迟  100.02s 0err 16158tok
  [32/144] claude-opus-4-6/A/天香  176.49s 0err 22125tok
  [33/144] claude-opus-4-6/A/暗香  61.31s 0err 13178tok
  [34/144] claude-opus-4-6/A/绮罗香  77.72s 0err 13234tok
  [35/144] claude-opus-4-6/A/凤凰台上忆吹箫  85.52s 0err 16143tok
  [36/144] claude-opus-4-6/A/霜叶飞  52.72s 0err 13196tok
  [37/144] claude-opus-4-6/A/扬州慢  81.36s 0err 14105tok
  [38/144] claude-opus-4-6/A/扫地游  94.91s 0err 14041tok
  [39/144] claude-opus-4-6/A/多丽  105.68s 1err 17297tok
  [40/144] claude-opus-4-6/A/绛都春  108.36s 0err 17291tok
  [41/144] claude-opus-4-6/A/莺啼序  317.58s 0err 32012tok
