Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] gpt-5.4/A/水调歌头  12.83s 0err 5551tok
  [2/144] gpt-5.4/A/满江红  25.7s 0err 7920tok
  [3/144] gpt-5.4/A/念奴娇  33.55s 0err 8270tok
  [4/144] gpt-5.4/A/贺新郎  41.48s 0err 9850tok
  [5/144] gpt-5.4/A/沁园春  32.83s 0err 7542tok
  [6/144] gpt-5.4/A/水龙吟  21.48s 0err 8677tok
  [7/144] gpt-5.4/A/满庭芳  20.03s 0err 5595tok
  [8/144] gpt-5.4/A/高阳台  18.28s 0err 4664tok
  [9/144] gpt-5.4/A/齐天乐  30.54s 0err 7287tok
  [10/144] gpt-5.4/A/摸鱼儿  32.84s 0err 7777tok
  [11/144] gpt-5.4/A/疏影  21.35s 0err 5827tok
  [12/144] gpt-5.4/A/八声甘州  34.88s 0err 7127tok
  [13/144] gpt-5.4/A/木兰花慢  63.17s 0err 12403tok
  [14/144] gpt-5.4/A/瑞鹤仙  52.92s 0err 13351tok
  [15/144] gpt-5.4/A/声声慢  42.63s 23err 12710tok
  [16/144] gpt-5.4/A/永遇乐  37.36s 0err 7789tok
  [17/144] gpt-5.4/A/一萼红  19.24s 0err 4923tok
  [18/144] gpt-5.4/A/忆旧游  25.02s 0err 6700tok
  [19/144] gpt-5.4/A/琐窗寒  29.92s 0err 6103tok
  [20/144] gpt-5.4/A/望海潮  21.58s 0err 5138tok
  [21/144] gpt-5.4/A/桂枝香  31.06s 0err 7046tok
  [22/144] gpt-5.4/A/汉宫春  53.76s 0err 9974tok
  [23/144] gpt-5.4/A/渡江云  22.69s 0err 5181tok
  [24/144] gpt-5.4/A/兰陵王  46.83s 0err 9894tok
  [25/144] gpt-5.4/A/解连环  40.54s 1err 9764tok
  [26/144] gpt-5.4/A/三姝媚  28.68s 0err 5866tok
  [27/144] gpt-5.4/A/南浦  27.04s 0err 5828tok
  [28/144] gpt-5.4/A/长亭怨慢  113.06s 9err 16515tok
  [29/144] gpt-5.4/A/醉蓬莱  98.91s 0err 14811tok
  [30/144] gpt-5.4/A/东风第一枝  31.79s 0err 5744tok
  [31/144] gpt-5.4/A/玉漏迟  32.86s 0err 7038tok
  [32/144] gpt-5.4/A/天香  72.15s 1err 13169tok
  [33/144] gpt-5.4/A/暗香  23.76s 0err 5665tok
  [34/144] gpt-5.4/A/绮罗香  28.75s 0err 5433tok
  [35/144] gpt-5.4/A/霜叶飞  18.22s 0err 5679tok
  [36/144] gpt-5.4/A/莺啼序  42.68s 1err 15358tok
  [37/144] gpt-5.4/A/凤凰台上忆吹箫  51.11s 0err 9889tok
  [38/144] gpt-5.4/A/扬州慢  33.79s 0err 6132tok
  [39/144] gpt-5.4/A/扫地游  24.3s 0err 5092tok
  [40/144] gpt-5.4/A/多丽  33.46s 0err 8612tok
  [41/144] gpt-5.4/A/玲珑四犯  31.61s 0err 6945tok
  [42/144] gpt-5.4/A/法曲献仙音  23.91s 0err 5838tok
  [43/144] gpt-5.4/A/绛都春  32.52s 0err 7830tok
  [44/144] gpt-5.4/A/解语花  28.92s 0err 5617tok
  [45/144] gpt-5.4/A/庆春宫  31.53s 0err 5964tok
  [46/144] gpt-5.4/A/琵琶仙  25.41s 0err 5276tok
  [47/144] gpt-5.4/A/石州慢  30.5s 0err 6738tok
  [48/144] gpt-5.4/A/选冠子  21.79s 0err 7890tok
  [49/144] gpt-5.4/A/意难忘  18.74s 0err 4331tok
  [50/144] gpt-5.4/A/倦寻芳  30.48s 0err 5506tok
  [51/144] gpt-5.4/A/甘露滴乔松  46.08s 2err 7798tok
  [52/144] gpt-5.4/A/穆护砂  54.57s 4err 9826tok
  [53/144] gpt-5.4/A/绕池游慢  24.98s 0err 4464tok
  [54/144] gpt-5.4/A/索酒  38.46s 20err 8042tok
  [55/144] gpt-5.4/A/胜州令  30.93s 88err 8647tok
  [56/144] gpt-5.4/A/远朝归  43.72s 0err 5646tok
  [57/144] gpt-5.4/A/花发状元红慢  67.67s 16err 9657tok
  [58/144] gpt-5.4/A/行香子慢  71.77s 14err 9882tok
  [59/144] gpt-5.4/A/落梅  79.89s 0err 10160tok
  [60/144] gpt-5.4/A/逍遥乐  36.43s 17err 8171tok
  [61/144] gpt-5.4/A/金浮图  62.13s 0err 8275tok
  [62/144] gpt-5.4/A/长寿仙  58.2s 2err 8657tok
  [63/144] gpt-5.4/A/飞龙宴  33.32s 0err 5653tok
  [64/144] gpt-5.4/A/雪夜渔舟  66.6s 0err 8587tok
  [65/144] gpt-5.4/A/三台（大曲）  36.35s 0err 6844tok
  [66/144] gpt-5.4/A/个侬  38.41s 0err 6368tok
  [67/144] gpt-5.4/A/内家娇  38.87s 0err 6184tok
  [68/144] gpt-5.4/A/四槛花  22.7s 0err 4389tok
  [69/144] gpt-5.4/A/如鱼水  22.02s 0err 4388tok
