Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_003

  Qwen3.5-Plus/A: resume, 59 done, 85 remaining
  [1/85] Qwen3.5-Plus/A/摸鱼儿  210.88s 0err 16401tok
  [2/85] Qwen3.5-Plus/A/满庭芳  256.97s 0err 18342tok
  [3/85] Qwen3.5-Plus/A/齐天乐  286.76s 0err 21256tok
  [4/85] Qwen3.5-Plus/A/瑞鹤仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [5/85] Qwen3.5-Plus/A/沁园春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [6/85] Qwen3.5-Plus/A/疏影  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [7/85] Qwen3.5-Plus/A/念奴娇  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [8/85] Qwen3.5-Plus/A/满江红  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [9/85] Qwen3.5-Plus/A/三姝媚  164.22s 0err 12513tok
  [10/85] Qwen3.5-Plus/A/忆旧游  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [11/85] Qwen3.5-Plus/A/声声慢  726.28s 0err 45725tok
  [12/85] Qwen3.5-Plus/A/天香  125.69s 0err 12053tok
  [13/85] Qwen3.5-Plus/A/永遇乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [14/85] Qwen3.5-Plus/A/解连环  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [15/85] Qwen3.5-Plus/A/望海潮  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [16/85] Qwen3.5-Plus/A/玲珑四犯  131.2s 0err 12363tok
  [17/85] Qwen3.5-Plus/A/南浦  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [18/85] Qwen3.5-Plus/A/霜叶飞  370.75s 4err 27557tok
  [19/85] Qwen3.5-Plus/A/兰陵王  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [20/85] Qwen3.5-Plus/A/桂枝香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [21/85] Qwen3.5-Plus/A/暗香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [22/85] Qwen3.5-Plus/A/庆春宫  363.79s 0err 20423tok
  [23/85] Qwen3.5-Plus/A/扫地游  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [24/85] Qwen3.5-Plus/A/莺啼序  1114.84s 15err 72519tok
  [25/85] Qwen3.5-Plus/A/选冠子  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [26/85] Qwen3.5-Plus/A/倦寻芳  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [27/85] Qwen3.5-Plus/A/穆护砂  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [28/85] Qwen3.5-Plus/A/绛都春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [29/85] Qwen3.5-Plus/A/琵琶仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [30/85] Qwen3.5-Plus/A/甘露滴乔松  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [31/85] Qwen3.5-Plus/A/石州慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [32/85] Qwen3.5-Plus/A/索酒  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [33/85] Qwen3.5-Plus/A/落梅  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [34/85] Qwen3.5-Plus/A/行香子慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [35/85] Qwen3.5-Plus/A/长寿仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [36/85] Qwen3.5-Plus/A/远朝归  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
