Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_003

  gemini-3.1-pro-preview/A: resume, 115 done, 29 remaining
  [1/29] gemini-3.1-pro-preview/A/贺新郎  67.6s 0err 5714tok
  [2/29] gemini-3.1-pro-preview/A/八声甘州  71.13s 0err 4320tok
  [3/29] gemini-3.1-pro-preview/A/东风第一枝  75.55s 0err 3853tok
  [4/29] gemini-3.1-pro-preview/A/望海潮  87.57s 0err 3988tok
  [5/29] gemini-3.1-pro-preview/A/水龙吟  94.24s 0err 7444tok
  [6/29] gemini-3.1-pro-preview/A/摸鱼儿  122.16s 1err 8802tok
  [7/29] gemini-3.1-pro-preview/A/霜叶飞  64.72s 0err 5181tok
  [8/29] gemini-3.1-pro-preview/A/高阳台  155.79s 0err 4424tok
  [9/29] gemini-3.1-pro-preview/A/逍遥乐  100.65s 0err 3677tok
  [10/29] gemini-3.1-pro-preview/A/齐天乐  230.86s 0err 6055tok
  [11/29] gemini-3.1-pro-preview/A/石州慢  166.0s 0err 7945tok
  [12/29] gemini-3.1-pro-preview/A/长寿仙  153.51s 0err 5489tok
  [13/29] gemini-3.1-pro-preview/A/韵令  50.36s 0err 2714tok
  [14/29] gemini-3.1-pro-preview/A/西吴曲  106.34s 0err 4746tok
  [15/29] gemini-3.1-pro-preview/A/梦扬州  171.11s 0err 3139tok
  [16/29] gemini-3.1-pro-preview/A/清风满桂楼  167.72s 0err 4319tok
  [17/29] gemini-3.1-pro-preview/A/浣溪沙  64.56s 0err 3244tok
  [18/29] gemini-3.1-pro-preview/A/五律平起  ERROR: OpenAI-compatible request failed: HTTP 404 Not Found for https://platform-api.xa
  [19/29] gemini-3.1-pro-preview/A/穆护砂  275.17s 40err 9191tok
  [20/29] gemini-3.1-pro-preview/A/七绝仄起首句入韵  49.98s 0err 2811tok
  [21/29] gemini-3.1-pro-preview/A/浪淘沙  87.07s 0err 4835tok
  [22/29] gemini-3.1-pro-preview/A/五绝仄起  29.99s 0err 2541tok
  [23/29] gemini-3.1-pro-preview/A/五律仄起  82.4s 0err 3021tok
  [24/29] gemini-3.1-pro-preview/A/渔家傲  159.2s 0err 8028tok
  [25/29] gemini-3.1-pro-preview/A/七律仄起首句入韵  95.84s 0err 4167tok
  [26/29] gemini-3.1-pro-preview/A/皂罗特髻  73.23s 0err 3854tok
  [27/29] gemini-3.1-pro-preview/A/七绝平起  110.18s 0err 3665tok
  [28/29] gemini-3.1-pro-preview/A/胜州令  407.43s 1err 13235tok
  [29/29] gemini-3.1-pro-preview/A/戚氏  498.74s Noneerr 10318tok
  gemini-3.1-pro-preview/A: done (29 completed)

All done. Results in results/run_003/
